date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:00:03	176173/176173	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202025%2008:26:23%20GMT	https://www.silvercolin.co.in/	C:/Users/yagni/Desktop/YK/builders%20demmo%202/www.silvercolin.co.in/index.html	(from )
18:00:03	162/162	---M-Z	200	added ('OK')	text/plain	date:Sat,%2018%20Jan%202025%2012:30:02%20GMT	https://www.silvercolin.co.in/robots.txt		(from )
18:00:04	114706/114706	---M-Z	200	added ('OK')	text/css	etag:%229802c5-1c012-626cfe2cd7b75-gzip%22	https://www.silvercolin.co.in/wp-includes/css/dist/block-library/style.min.css?ver=6.7.1	C:/Users/yagni/Desktop/YK/builders%20demmo%202/www.silvercolin.co.in/wp-includes/css/dist/block-library/style.min9704.css	(from https://www.silvercolin.co.in/)
18:00:04	163921/163921	---M-Z	200	added ('OK')	text/xml	date:Sat,%2018%20Jan%202025%2012:30:04%20GMT	https://www.silvercolin.co.in/feed/	C:/Users/yagni/Desktop/YK/builders%20demmo%202/www.silvercolin.co.in/feed/index.html	(from https://www.silvercolin.co.in/)
18:00:04	760/760	---M-Z	200	added ('OK')	text/xml	date:Sat,%2018%20Jan%202025%2012:30:04%20GMT	https://www.silvercolin.co.in/comments/feed/	C:/Users/yagni/Desktop/YK/builders%20demmo%202/www.silvercolin.co.in/comments/feed/index.html	(from https://www.silvercolin.co.in/)
18:00:04	2859/2859	---M-Z	200	added ('OK')	text/css	etag:%22b20820-b2b-5fbcc6e595d1a-gzip%22	https://www.silvercolin.co.in/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.7.6	C:/Users/yagni/Desktop/YK/builders%20demmo%202/www.silvercolin.co.in/wp-content/plugins/contact-form-7/includes/css/stylescfaa.css	(from https://www.silvercolin.co.in/)
18:00:04	66716/66716	---M-Z	200	added ('OK')	text/css	etag:%22be1bbe-1049c-5fbcc8b3fa7b6-gzip%22	https://www.silvercolin.co.in/wp-content/plugins/testimonial-slider-and-showcase/assets/css/wptestimonial.css?ver=2.3.2	C:/Users/yagni/Desktop/YK/builders%20demmo%202/www.silvercolin.co.in/wp-content/plugins/testimonial-slider-and-showcase/assets/css/wptestimonial95b8.css	(from https://www.silvercolin.co.in/)
18:00:05	98/98	---M-Z	200	added ('OK')	text/css	etag:%2213a1122-62-5fbcc8fd5a2aa-gzip%22	https://www.silvercolin.co.in/wp-content/plugins/wp-contact-form-7-spam-blocker/frontend/css/spam-protect-for-contact-form7.css?ver=1.0.0	C:/Users/yagni/Desktop/YK/builders%20demmo%202/www.silvercolin.co.in/wp-content/plugins/wp-contact-form-7-spam-blocker/frontend/css/spam-protect-for-contact-form78a54.css	(from https://www.silvercolin.co.in/)
18:00:05	1425/1425	---M-Z	200	added ('OK')	text/css	etag:%22ac3e61-591-5fbdcff89bcd5-gzip%22	https://www.silvercolin.co.in/wp-content/plugins/wp-slick-slider-and-image-carousel/assets/css/slick.css?ver=3.4	C:/Users/yagni/Desktop/YK/builders%20demmo%202/www.silvercolin.co.in/wp-content/plugins/wp-slick-slider-and-image-carousel/assets/css/slicke735.css	(from https://www.silvercolin.co.in/)
18:00:05	12907/12907	---M-Z	200	added ('OK')	text/css	etag:%22ac3ec9-326b-5fbdcff8d81b3-gzip%22	https://www.silvercolin.co.in/wp-content/plugins/wp-slick-slider-and-image-carousel/assets/css/wpsisac-public.css?ver=3.4	C:/Users/yagni/Desktop/YK/builders%20demmo%202/www.silvercolin.co.in/wp-content/plugins/wp-slick-slider-and-image-carousel/assets/css/wpsisac-publice735.css	(from https://www.silvercolin.co.in/)
